0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.203784972505996,-6.0784568379762165,-5.953127812240365,-5.827799430041724,-5.70247088209025,-5.577141908274861,-5.451813406150709,-5.326484701446248,-5.201155785320922,-5.07582726844805,-4.950498414158119,-4.825169485069398,-4.699841214205665,-4.574511728363487,-4.449183583824348,-4.323854210238287,-4.198525597602165,-4.073196795083083,-3.9478679368472354,-3.822538866324951,-3.6972102568096195,-3.571881101917627,-3.446552540899992,-3.321223643752616,-3.195895019258704,-3.0705657656256324,-2.9452368933873916,-2.8199079853117643,-2.6945788426799324,-2.5692503007334473,-2.4439212880199292,-2.3185921750719514,-2.193263613639032,-2.0679344145229828,-1.942605617691347,-1.8172765855545956,-1.6919473887959455,-1.5666187528108526,-1.4412894242151768,-1.3159608101602132,-1.1906319075636482,-1.0653024951190788,-0.9399739278658071,-0.8146446559172528,-0.6893158368113531,-0.5639868319801578,-0.43865791695883166,-0.3133288431613457,-0.1879998985090512,-0.06267063043569511,0.06265783255127179,0.18798711267611018,0.31331611075213683,0.4386451047401738,0.5639740737797443,0.6893030748331488,0.814632146420084,0.9399607740194352,1.0652903422197195,1.190618950558958,1.3159481332642158,1.4412772252519668,1.5666058651051598,1.6919351474853128,1.8172641733897086,1.942593215079272,2.067922442877114,2.1932511292930146,2.3185804735728355,2.4439093680572594,2.5692382541912098,2.6945676190670143,2.819896305453274,2.945225524789514,3.0705548869320505,3.1958838376855976,3.3212130846163084,3.4465418648090234,3.5718710644363965,3.697199865590333,3.8225293295784293,3.9478583566624748,4.073187496964826,4.198516631677516,4.323846001009452,4.449174676327868,4.574504664065651,4.699833088725827,4.825162806825923,4.950491760052079,5.075820897749246,5.2011504516922304,5.326479405156236,5.451808655114967,5.577138255726104,5.702467183109113,5.827796541250763,5.95312607215232,6.0784548876049325,6.203784528722819
-12.407574330592938,-12.156913686935937,-11.906252577287082,-11.655596121569989,-11.404939393827465,-11.154285453224139,-10.903626039561916,-10.652966803730761,-10.402303394616666,-10.151647497643406,-9.900993412003437,-9.65033917647433,-9.399681492682111,-9.149020615532187,-8.898359696114047,-8.64770164232746,-8.397045849011635,-8.146392403230989,-7.895733785906049,-7.6450780044778375,-7.394415825689503,-7.143758312092298,-6.893096855455502,-6.642439292422535,-6.391781339830417,-6.141128837920122,-5.890473718837285,-5.639816936048113,-5.3891525377906975,-5.138490029560299,-4.88783056149738,-4.637176821190835,-4.3865271048505905,-4.135868672623869,-3.885210206138821,-3.6345450917496374,-3.383885347002952,-3.13322843960122,-2.882573161693539,-2.6319160437853526,-2.381260292598393,-2.130602688381226,-1.8799447572893286,-1.6292845122286037,-1.3786205139275727,-1.1279608379415906,-0.8773054408224207,-0.6266549160469186,-0.37600083666153733,-0.1253411930024876,0.12531754133150963,0.3759780491088133,0.6266309593379893,0.8772826166493359,1.1279371217348675,1.3785979757937281,1.6292609334013197,1.8799216871723605,2.130580968095179,2.381235966912199,2.631894969035807,2.8825502468397683,3.1332061441644457,3.38386367240918,3.634524031851911,3.8851871935584303,4.13584959905221,4.386504689707375,4.637156609053661,4.887810960016983,5.138468829185195,5.389134284987579,5.639796477101628,5.890455971742613,6.141109395078811,6.391764301355146,6.642420592072308,6.893081096857449,7.143740050899299,7.394401834381313,7.645059975252454,7.895721156625305,8.146376288812872,8.397032838812391,8.647688258153769,8.898347393377419,9.149008243078523,9.399670939717442,9.650328363548008,9.900983836026143,10.15163813457021,10.402296508946359,10.652957425113783,10.903621523527379,11.154278375492368,11.404935317630988,11.655591973242963,11.90624981155536,12.156911555863578,12.407573371140602
-18.61135457892437,-18.235368868832584,-17.859383800755218,-17.48339718840279,-17.107410441031668,-16.73142341760499,-16.355436867695015,-15.979451615941256,-15.603466590882231,-15.227479713909482,-14.85149244092947,-14.475505124510004,-14.099518422857418,-13.723533134644327,-13.347547783496966,-12.971561267717496,-12.59557431425532,-12.219587086238498,-11.843600151780612,-11.467614054376506,-11.091628165662142,-10.715641859551896,-10.339655814381713,-9.963669789947028,-9.587682765100986,-9.211694997564845,-8.835707440666758,-8.459720684391169,-8.083735504162018,-7.707750927651542,-7.331764243597985,-6.95577650647217,-6.579787155965031,-6.2037999940227,-5.82781412116708,-5.45182944688965,-5.075843315693864,-4.699856259552998,-4.323868534596173,-3.9478809506065384,-3.571893960768762,-3.195906542650919,-2.8199195691874026,-2.443933521923416,-2.0679485734067553,-1.6919621951041408,-1.3159740761687748,-0.9399848994492596,-0.5639961054803206,-0.1880110605251107,0.18797680713315312,0.5639623879245539,0.9399505662017843,1.3159401313008554,1.6919286262352946,2.0679144922477852,2.443899867331926,2.8198863072351927,3.195872953723578,3.5718607794788846,3.9478478910071995,4.32383574849351,4.699823469031971,5.075811176391928,5.451797307218791,5.827782422805016,6.203768668690233,6.579756427593628,6.955745831317744,7.331734546700991,7.707721326921619,8.083706814860163,8.459692494802264,8.83567962210695,9.211668202909621,9.587656664895508,9.963643979945008,10.339631373840641,10.715618185207802,11.091605103923563,11.467591943009445,11.84357930457989,12.21956666617998,12.595554971666402,12.971543257510154,13.347530261213384,13.723516970933677,14.099503410634375,14.475490793426431,14.851479283700497,15.22746805996862,15.603455388797519,15.979441855680225,16.355428454769918,16.731415694140914,17.107404264827235,17.483392163632896,17.859379785927796,18.235366518763897,18.611353158451465
-24.815141895279584,-24.313825473729068,-23.812509827042604,-23.311195061873136,-22.80987969259316,-22.308564963824377,-21.807249700634415,-21.30593384000389,-20.8046179165994,-20.303302963475417,-19.801988135864647,-19.300673241847235,-18.799357783075763,-18.298042010941096,-17.79672626664468,-17.295411039167394,-16.79409581072644,-16.292781008840507,-15.791465633571702,-15.290150467029829,-14.788834356595329,-14.287518385799352,-13.78620217722023,-13.284885894329408,-12.783570599476091,-12.28225588273091,-11.780940670865187,-11.279625525132182,-10.77830879397589,-10.276992635444842,-9.775677430575659,-9.274361253326383,-8.773046469300963,-8.271730002302064,-7.770414414623429,-7.269098510388772,-6.767782975671149,-6.266466968181113,-5.765151036981185,-5.2638347223216,-4.762518842993203,-4.261202928756529,-3.7598870272352887,-3.25857068708006,-2.7572546665812725,-2.255938564179849,-1.7546218691554938,-1.2533061938460521,-0.7519903263088353,-0.2506771627208342,0.25064213078721653,0.7519554958969134,1.2532710895106114,1.7545869842314614,2.2559037718774335,2.7572194794342075,3.258536032462791,3.759852163620787,4.261168030523865,4.76248425000838,5.263799791967057,5.765116637049654,6.266432375709365,6.767748990259394,7.269064442874987,7.770380894723504,8.27169704806325,8.773013068879928,9.27432981416943,9.775644989976245,10.276961798519112,10.778278408991874,11.279595117884977,11.780911628591179,12.282226983886954,12.783542244838875,13.284858620611105,13.786175192769994,14.287492203286586,14.788809051633795,15.290125522616643,15.791441945555702,16.292757752622883,16.794073849023803,17.295389663668555,17.796706315105784,18.298022663415747,18.799340177239586,19.300656375127954,19.80197292906192,20.303288858065386,20.804605067827612,21.305922489507825,21.807239753303744,22.308555944342764,22.80987276695746,23.311188925178172,23.812505504447508,24.31382282942152,24.81514025071792
-31.018925552917818,-30.392280876515393,-29.765636068175905,-29.138991871704906,-28.512347597030796,-27.885702763623737,-27.259058702098397,-26.632414987713528,-26.005768538134895,-25.37912551546378,-24.75248157650127,-24.125835837426642,-23.49919249933499,-22.872548581696194,-22.245902225289022,-21.6192596415736,-20.992614849018683,-20.3659697930246,-19.739326323591097,-19.112681483969094,-18.486036350179592,-17.859393048201692,-17.232747923686784,-16.606103094215126,-15.97946026682849,-15.35281338901851,-14.726171100145063,-14.099525545935895,-13.47288043331769,-12.846235975033116,-12.219591569660764,-11.592946794783463,-10.966303085255728,-10.339658429494687,-9.713013288807222,-9.086368834270935,-8.459723049013215,-7.833079774108214,-7.206435141726776,-6.579789255031277,-5.953146832752371,-5.3265004241382,-4.6998559973988066,-4.0732117631481435,-3.446565321984412,-2.81992149590601,-2.1932751128108903,-1.566632331651361,-0.9399862977829029,-0.31334155335896935,0.313303395774053,0.9399494126039245,1.5665927814895766,2.1932390880321546,2.819882361767732,3.4465290870905503,4.07317357612634,4.699819616982972,5.326465177921163,5.953108529836088,6.579756189658118,7.206399875795169,7.8330446406504946,8.459690818609735,9.086335028178892,9.712981206861219,10.339626467188962,10.966271660809984,11.592916971092311,12.219561358698273,12.84620668964476,13.472852703355118,14.09949809792476,14.726142612659016,15.352789955890135,15.979432568333776,16.60607968694695,17.232724715675335,17.859369363596258,18.486015661558614,19.11266045452243,19.739305619044224,20.365952126856325,20.99259666658089,21.619241421143442,22.24588862369123,22.872532291877093,23.49917852776824,24.125825069050386,24.752468923658792,25.379114360491002,26.005761013000292,26.632404819950484,27.259051251544097,27.885697060929363,28.512341735482963,29.13898729466224,29.76563306320472,30.392278651036335,31.018924235446455
-37.22271062014982,-36.4707385105033,-35.71876657962629,-34.96679434325032,-34.21482127931622,-33.46284820660139,-32.710875825538594,-31.95890252669791,-31.206931314761043,-30.45495839842139,-29.70298323586057,-28.951011278921058,-28.199037657001167,-27.447063748924503,-26.69509244848128,-25.943118750094598,-25.19114379644724,-24.439171366143896,-23.687196764945515,-22.93522422039266,-22.183250592412076,-21.431276572898458,-20.67930448924875,-19.92732998670667,-19.175356226039554,-18.4233834372334,-17.67140751505255,-16.91943438853877,-16.16746206258436,-15.415488783454705,-14.663515513852568,-13.911541342116088,-13.159566218268203,-12.407592249166418,-11.655619110922716,-10.903646028014924,-10.151673063891842,-9.399698490221072,-8.647723832373677,-7.895750892252174,-7.143776547185315,-6.39180189161772,-5.639829227383251,-4.887854677500816,-4.135880959930128,-3.3839098491672237,-2.6319335772328194,-1.8799580051338487,-1.1279852466282043,-0.37601012129728084,0.37596457064187916,1.1279354686805265,1.8799125043990321,2.631887617773831,3.3838605992072934,4.135836111176223,4.887808372669568,5.639781384031409,6.391756897523588,7.143730912510828,7.895704032439985,8.647679356244959,9.399653289438573,10.151627416219322,10.903601800149799,11.655574471707773,12.407548196530858,13.159522539132038,13.911497819424241,14.663472635494195,15.415446741676504,16.167419136269466,16.919393096415522,17.671368047947837,18.42334144842212,19.175317863289386,19.927292092349735,20.679265194031597,21.43124065096654,22.18321461645869,22.935188469187803,23.687163602216586,24.439136975152934,25.1911134297144,25.94308734605034,26.695061574108095,27.447037272335873,28.199010092484098,28.9509844255845,29.702961451592333,30.45493533895157,31.206910285001037,31.958885336155024,32.7108585210812,33.462833785612915,34.214809433598255,34.96678417837538,35.718759415907904,36.47073346893819,37.22270797288191
-43.42649801294898,-42.54919493058756,-41.67188938754763,-40.79458749516005,-39.917285415771836,-39.03998594835226,-38.162684266520294,-37.28538088079376,-36.40807597020451,-35.53077512898132,-34.65347530147336,-33.77617509750073,-32.89887369090896,-32.021568605705134,-31.144266254960016,-30.266964442497805,-29.389664687799886,-28.512364606500235,-27.635062504371948,-26.757759820891035,-25.880457458622754,-25.003155763973563,-24.125854048468987,-23.24855062927401,-22.371249051202568,-21.493948425245666,-20.6166485529792,-19.73934755399934,-18.862040887731215,-17.984735951044936,-17.107430749144513,-16.23013088106769,-15.352833294063116,-14.475529717657325,-13.598226286333787,-12.72091871118537,-11.843616079999107,-10.966314866212059,-10.089012271679607,-9.211710247302046,-8.334405427184286,-7.457104074251362,-6.5798024090304645,-5.702498855426262,-4.8251930278234685,-3.947885834144865,-3.0705852981390365,-2.193284877822437,-1.3159852535790484,-0.43867931302100366,0.43862394110626757,1.3159288417540487,2.193230655233011,3.070528119234765,3.94783208458193,4.82513687397056,5.702444458067651,6.579747298617464,7.457049539262974,8.334352401852538,9.211656446113647,10.08896182272771,10.966263345708755,11.843565897853649,12.720870637793762,13.598177038569055,14.475484073262514,15.352785854534071,16.23008595589888,17.107388018703727,17.984690796679075,18.86199993728733,19.73930472731784,20.616608185995776,21.493908892126942,22.371209768956497,23.248514344064088,24.125817528796873,25.003121835457264,25.880424489875487,26.7577290133552,27.63503311216466,28.512336705401413,29.38963896370077,30.26694065045734,31.144243425765648,32.02154906516179,32.89885428548778,33.77615789248618,34.653459497877684,35.53076031463083,36.40806389072452,37.28536953616487,38.1626754416224,39.03997762120573,39.917279084517546,40.794581689287234,41.67188596587456,42.54919218584244,43.42649716998976
-49.63028365505287,-48.62765236156255,-47.62501503243006,-46.62238051714462,-45.61974724406246,-44.6171173148464,-43.61448894773465,-42.611854690054365,-41.60921919439668,-40.60658813733918,-39.60395762267028,-38.601326346367884,-37.59869506064401,-36.59605894007622,-35.593427265741944,-34.59079746295782,-33.58816900501555,-32.585535871892205,-31.582902654933513,-30.580267546643178,-29.57763598562018,-28.575007953357037,-27.572377126522202,-26.569743580799926,-25.567108862658625,-24.564475426768894,-23.561848930864382,-22.55921856083663,-21.556585481746847,-20.55395029744327,-19.551317106085474,-18.548686052482296,-17.54606001295282,-16.543426925742345,-15.540793498635804,-14.538159750458487,-13.535529475333062,-12.532902392983624,-11.53027023106545,-10.527634353078286,-9.52499804664511,-8.522367698911692,-7.519743318931305,-6.517115658157945,-5.514480567052378,-4.511844050901058,-3.5092094492509798,-2.5065823692991422,-1.5039533792012179,-0.501318405742793,0.5013132076890054,1.5039473261958058,2.506576795010195,3.509204959312346,4.511837121358107,5.5144757305875505,6.517110631982008,7.519737177725971,8.522363526066547,9.524992517888935,10.52762913592358,11.530266256026053,12.532896972309253,13.535526281463984,14.538155100092732,15.540790718682672,16.543426128798632,17.546057187344662,18.548686327402326,19.551315904454775,20.55394968932611,21.556586949918106,22.559220394857107,23.561848901432395,24.564480269529945,25.56711090876859,26.569747598608256,27.572381859980116,28.575013607000706,29.577642776770098,30.580275369774757,31.582909139627183,32.5855467462671,33.588177432388676,34.590807091686784,35.59343681559493,36.5960696141458,37.59870329481639,38.60133707112654,39.603966778641166,40.60659578075126,41.609228164115585,42.61186203442373,43.614494071928824,44.61712388417809,45.61975105082859,46.6223837691626,47.625017296203445,48.62765362323862,49.63028407059366
-55.83406724788039,-54.70610621848598,-53.5781418237679,-52.45018029776065,-51.32221873654068,-50.194260008408804,-49.06630032092809,-47.93833870015954,-46.81037633677516,-45.68241563665852,-44.55445670693158,-43.42649735673974,-42.298536687796755,-41.170573776712914,-40.04261254099582,-38.91465385564474,-37.78669491571838,-36.65873457444886,-35.53077333351066,-34.40281201830855,-33.27485026289376,-32.146891266181626,-31.01893054265757,-29.890968683589758,-28.763006442037632,-27.635047612052585,-26.50708870474601,-25.379129144221576,-24.251167178905735,-23.12320323363994,-21.995242044496862,-20.867283470455096,-19.739326416398104,-18.611366550998884,-17.48340408435746,-16.35544111821949,-15.227481198038225,-14.099522040136456,-12.971562527120179,-11.84359951402485,-10.715637669924279,-9.587678182698006,-8.459720613122167,-7.331760227550237,-6.2037967779573515,-5.075833121587755,-3.94787054473653,-2.819913032772735,-1.6919547349638375,-0.5639916546619761,0.5639705415115788,1.6919316692100044,2.8198912889743677,3.9478497327660245,5.0758098002867165,6.203774001549322,7.331737829912158,8.459696287431715,9.587654409895512,10.715613508576219,11.8435766464322,12.971539067071513,14.099499496168322,15.227458060770473,16.35541780173124,17.483380828722538,18.611342988640583,19.739304666648717,20.86726196084533,21.995221643319745,23.123183545005308,24.251147973071348,25.37911176311452,26.50707229134334,27.63503140041688,28.762992316786242,29.89095518804073,31.01891755018816,32.14687888446935,33.27483969817411,34.40280108310449,35.53076423784398,36.65872779313299,37.78668841186299,38.914647705023114,40.042608931061764,41.170571106077574,42.29853448266648,43.426496079282664,44.55445659765895,45.68241635080047,46.81037717493707,47.93834125572734,49.066304143176495,50.19426370809575,51.32222260589072,52.45018308917895,53.578144331680406,54.70610755676366,55.834068557593824
